Team,Mrg,Y_PNL,E_PNL,O_PNL,I_PNL,T_PNL,PL_D10U5,PL_U5U3,PinPout,Actual,ExpOptVal,With_Exch
JAI,355.3,410.01,413.81,-99.727,118.825,3.8000000000000007,12000.0,-2015.0,551.0,538.0,-1.0,1893.0
HDO,354.3,613.84,573.851,-160.561,123.953,-39.989,14624.0,-1094.0,199.0,198.0,9.0,3588.0
JAS,94.1,240.89,243.273,-30.659000000000002,35.744,2.382999999999999,-72.0,-703.0,98.0,92.0,-4.0,576.0
DEL,82.19999999999999,94.06,109.199,-32.715,47.9,15.139,-11.0,-163.0,36.0,-314.0,-333.0,-410.0
JPT,46.4,65.11,51.131,-54.352999999999994,40.374,-13.979000000000001,9154.0,2102.0,-60.0,-60.0,0.0,507.0
VIP,46.1,171.38,148.738,0.0,-22.642,-22.642,-1957.0,-1269.0,123.0,123.0,0.0,155.0
SHR,45.5,20.52,22.897999999999996,0.0,2.378,2.378,6488.0,75.0,47.0,47.0,0.0,48.0
NAS,43.8,133.85,137.868,1.6320000000000001,2.385,4.018,777.0,-32.0,23.0,28.0,0.0,805.0
VEO,41.1,54.43,56.23,-27.578,29.378999999999998,1.800000000000001,-473.0,-903.0,12.0,12.0,0.0,200.0
VIK,39.599999999999994,80.9,89.194,14.31,-6.016,8.294,677.0,-136.0,239.0,243.0,1.0,363.0
KAL,38.3,47.34,31.759999999999998,-15.250000000000002,-0.36100000000000004,-15.580000000000002,28.0,-223.0,27.0,27.0,0.0,61.0
NAI,38.3,18.93,27.447,0.8440000000000003,7.673,8.517,2093.0,-222.0,170.0,170.0,0.0,497.0
VIY,37.800000000000004,24.96,24.347,-7.839,7.099,-0.6129999999999999,2827.0,-413.0,4.0,4.0,0.0,50.0
SIO,37.2,-96.62,-212.43,-31.799,-84.012,-115.81,161.0,-878.0,-49.0,-49.0,0.0,107.0
KPT,36.1,50.05,87.886,21.447,16.389,37.836,114.0,-465.0,79.0,79.0,0.0,204.0
KAR,28.8,19.64,20.608,0.0,0.968,0.968,0.0,0.0,4.0,-1.0,-5.0,0.0
MUK,24.5,9.86,14.232,0.0,4.372,4.372,0.0,0.0,4.0,1.0,-3.0,-3.0
GQO,23.0,39.08,26.366999999999997,0.0,-12.713,-12.713,-189.0,-660.0,67.0,67.0,0.0,83.0
SIC,22.1,-54.5,-119.715,-16.755,-48.466,-65.215,59.0,-494.0,-23.0,-23.0,0.0,44.0
HEO,21.4,27.450000000000003,26.938000000000002,-1.4,0.888,-0.512,0.0,4.0,0.0,0.0,0.0,0.0
NAV,21.2,74.69,72.474,-12.983,10.767000000000001,-2.216,-14.0,11.0,-63.0,-65.0,-2.0,91.0
HEC,19.2,0.5,-0.892,-2.594,1.203,-1.392,0.0,13.0,0.0,0.0,0.0,0.0
HDC,18.4,30.509999999999998,26.447,-17.787,13.727,-4.063,1783.0,207.0,-36.0,-36.0,0.0,100.0
NAF,16.900000000000002,24.32,22.933,-4.414000000000001,3.024,-1.3869999999999998,400.0,-6.0,-11.0,-11.0,0.0,118.0
GQC,12.7,11.23,5.771999999999999,0.0,-5.458,-5.458,-176.0,-355.0,38.0,38.0,0.0,45.0
VEC,8.6,7.48,7.7010000000000005,-6.305000000000001,6.525,0.22100000000000003,-155.0,-202.0,3.0,3.0,0.0,33.0
KKD,8.2,21.05,18.059,0.319,-3.311,-2.9909999999999997,0.0,0.0,-3.0,-3.0,0.0,0.0
GQS,7.5,18.62,15.025,0.0,-3.595,-3.595,13.0,-169.0,15.0,10.0,-5.0,14.0
VSS,5.0,-10.5,-10.633000000000001,-6.362,6.229,-0.13299999999999979,117.0,-46.0,4.0,4.0,0.0,-25.0
KKC,4.3,9.57,8.339,0.355,-1.586,-1.231,0.0,0.0,-1.0,-1.0,0.0,1.0
SIA,1.8,-6.57,-13.777000000000001,-1.815,-5.392,-7.207,13.0,-54.0,-3.0,-3.0,0.0,8.0
BKC,1.4,0.74,0.617,0.0,-0.123,-0.123,0.0,-5.0,0.0,0.0,0.0,0.0
SIX,0.9,-0.67,0.45400000000000007,0.877,0.247,1.124,12.0,-4.0,-2.0,-2.0,0.0,18.0
RON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIM,0.0,-4.41,-3.741,0.0,0.669,0.669,0.0,0.0,1.0,1.0,0.0,0.0
KLC,0.0,0.26999999999999996,0.10899999999999999,-0.025,-0.13599999999999998,-0.161,-4.0,2.0,0.0,0.0,0.0,-3.0
LIC,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,3.0,0.0,0.0,0.0,0.0
